AAPL,SMA_20,SMA_50,RSI_14,EMA_20,Return
115.77286529541016,,,,115.77286529541016,
115.77286529541016,,,,115.77286529541016,0.0
115.77286529541016,,,,115.77286529541016,0.0
112.8158187866211,,,0.0,115.49124181838263,-0.025541792554272136
114.30406188964844,,,33.47910334281296,115.3781770632651,0.013191794546491664
113.68153381347656,,,29.366547785544284,115.21659199185667,-0.005446246317763248
112.59207916259766,,,24.17049337955953,114.9666383890701,-0.00958339155298904
111.90145874023438,,,21.73286228214718,114.67471651775242,-0.006133827774562506
111.90145874023438,,,21.73286228214718,114.41059672941736,0.0
111.90145874023438,,,21.73286228214718,114.17163120663804,0.0
111.91119384765625,,,21.8439705265547,113.95635145816358,8.699714491178234e-05
113.41889190673828,,,35.9301752913923,113.90516483421833,0.013472272140483632
108.16621398925781,,,22.07134249405722,113.35859808707923,-0.04631219569487266
112.17382049560547,,,39.7902973910755,113.24576212598649,0.03705044633202803
105.89005279541016,,,29.3327695965027,112.5452183802173,-0.056018130366180086
105.89005279541016,,,29.3327695965027,111.91139308642614,0.0
105.89005279541016,,,29.3327695965027,111.33793210632938,0.0
105.8025131225586,,,33.33329707173053,110.81074934597025,-0.0008267034583568922
107.42694854736328,,,33.76205915212951,110.48848260324579,0.015353467293569789
111.81391143798828,111.2400058746338,,46.25584391072379,110.6147139208403,0.04083670764129388
115.7825927734375,111.24049224853516,,55.734265178106426,111.10689285918289,0.03549362762119479
115.65103912353516,111.23440093994141,,56.877274104988125,111.53966869388312,-0.0011362126788762028
115.65103912353516,111.22830963134766,,56.877274104988125,111.93122778242142,0.0
115.65103912353516,111.37007064819336,,56.877274104988125,112.28549552919416,0.0
113.34173583984375,111.32195434570312,,52.41970743199541,112.38608984449412,-0.019967855898161635
113.00070190429688,111.28791275024415,,49.26358306546027,112.44462432638011,-0.003008899881582594
116.43058013916016,111.47983779907227,,65.55161638311611,112.82423916569249,0.030352716196118346
116.15775299072266,111.69265251159668,,58.72292742314305,113.14171667283821,-0.00234326023379261
116.2064437866211,111.90790176391602,,81.07177029974531,113.43359544557944,0.0004191781835030106
116.2064437866211,112.12315101623535,,81.07177029974531,113.69767623996435,0.0
116.2064437866211,112.3379135131836,,81.07177029974531,113.93660648250308,0.0
117.21984100341797,112.52796096801758,,82.5711236129176,114.24929548449497,0.008720662846009475
116.33312225341797,112.93630638122559,,76.52376152767414,114.44775517677334,-0.007564579020151951
115.0079574584961,113.07801322937011,,61.633962444518794,114.50110777503265,-0.011391122057526792
115.60233306884766,113.56362724304199,,49.12942775175187,114.6059863744436,0.0051681259582934125
114.33563232421875,113.98590621948242,,44.274911058616645,114.5802383696603,-0.01095739775316229
114.33563232421875,114.40818519592285,,44.274911058616645,114.55694255580872,0.0
114.33563232421875,114.83484115600587,,44.274911058616645,114.5358653908954,0.0
110.9349594116211,115.01024169921875,,40.433705418740125,114.19292196429784,-0.02974289679838782
112.22118377685547,115.03060531616211,,47.118157976829735,114.00513737501761,0.011594400647517045
113.05916595458984,114.89443397521973,,34.5811310431842,113.91504485878639,0.007467237018285777
113.05916595458984,114.76484031677246,,35.46619067318056,113.83353258219624,0.0
113.60482788085938,114.66252975463867,,38.34077451675617,113.81175118206892,0.0048263395688652455
113.60482788085938,114.56021919250489,,38.34077451675617,113.79204420100135,0.0
113.60482788085938,114.57337379455566,,38.34077451675617,113.77421407527353,0.0
116.00182342529297,114.72342987060547,,45.14366298636984,113.98636734670396,0.02109941618808131
119.57787322998047,114.88079452514648,,60.65261867023611,114.51889171653981,0.03082753097403268
119.92864990234375,115.06933937072753,,67.25899911639833,115.03410678185446,0.002933458029385161
119.79224395751953,115.24862937927246,,65.18362011477156,115.48726270334637,-0.0011373924824076287
119.11992645263672,115.39430351257325,113.73531112670898,68.11808928349575,115.83323067946927,-0.005612362559309192
119.11992645263672,115.53997764587402,113.80225234985352,68.11808928349575,116.14624932453283,0.0
119.11992645263672,115.63498191833496,113.86919357299804,68.11808928349575,116.42945667006654,0.0
120.58150482177734,115.84740104675294,113.96536636352539,92.82027697213617,116.82488982737233,0.012269805839090875
121.19538116455078,116.15677223205566,114.13295761108398,92.36451463262136,117.2411270975798,0.005090966012414322
118.66192626953125,116.30975189208985,114.22011489868164,72.79932840607589,117.37644130443232,-0.020903889823819077
120.08454895019531,116.59719772338867,114.34817520141601,75.62186867509237,117.6343563183145,0.011988872297864939
119.27581787109375,116.84420700073242,114.48184997558593,70.292949170163,117.79068599000777,-0.00673468057440918
119.27581787109375,117.09121627807617,114.62933715820313,70.292949170163,117.93212712153978,0.0
119.27581787109375,117.50825920104981,114.77682434082031,70.292949170163,118.06009766911635,0.0
118.66192626953125,117.83029632568359,114.91203369140625,60.91126843163014,118.11741467867967,-0.005146823660651445
124.60575866699219,118.40762596130371,115.16592498779296,67.2690700961543,118.7353522013761,0.050090476232115044
124.53755187988281,118.98154525756836,115.38829818725586,66.14335755156753,119.28794264694817,-0.0005473806976422635
125.40475463867188,119.57154159545898,115.73306900024414,68.70124449049715,119.87049616996947,0.006963383699925885
123.4170150756836,120.0621509552002,115.9579328918457,63.16418323482502,120.20825987527557,-0.015850591699776873
123.4170150756836,120.55276031494141,116.30847213745118,63.16418323482502,120.51385560864776,0.0
123.4170150756836,120.92351989746093,116.65901138305664,63.16418323482502,120.79034698646069,0.0
124.94678497314453,121.19196548461915,117.04014602661132,63.31744703195539,121.18619822328772,0.012395129606098676
128.5033416748047,121.62070007324219,117.49416259765626,68.90119322700123,121.8830690281941,0.028464571556799934
