Date,Open,High,Low,Close,Volume
2020-10-16,,,,,
2020-10-17,,,,,
2020-10-18,,,,,
2020-10-19,116.68723954016163,117.13468888800898,112.50455698180666,112.81582641601562,120639300.0
2020-10-20,113.02978153535808,115.73394268246419,112.47533280323033,114.30404663085938,124423700.0
2020-10-21,113.4869857975519,115.47133103249566,113.27298669065874,113.68153381347656,89946000.0
2020-10-22,114.24568862177946,114.81959591240101,111.46371546147097,112.59207153320312,101988000.0
2020-10-23,113.2146263110706,113.37026472424279,111.16219112016253,111.90145874023438,82572600.0
2020-10-24,113.2146263110706,113.37026472424279,111.16219112016253,111.90145874023438,82572600.0
2020-10-25,113.2146263110706,113.37026472424279,111.16219112016253,111.90145874023438,82572600.0
2020-10-26,110.89955881245987,113.37026292295224,109.80038294532771,111.91118621826172,111850700.0
2020-10-27,112.33915946139578,114.08032494762837,111.4150806612359,113.41887664794922,92276800.0
2020-10-28,111.9111991601691,112.28082929645379,108.06895894073497,108.16622924804688,143937800.0
2020-10-29,109.30429841508608,113.73988906858685,109.138930754146,112.17381286621094,146129200.0
2020-10-30,108.03002105163316,108.93464877317763,104.78114762621877,105.89004516601562,190272600.0
2020-10-31,108.03002105163316,108.93464877317763,104.78114762621877,105.89004516601562,190272600.0
2020-11-01,108.03002105163316,108.93464877317763,104.78114762621877,105.89004516601562,190272600.0
2020-11-02,106.1332257311281,107.66039217853414,104.39206020859244,105.80249786376953,122866900.0
2020-11-03,106.66822990485883,108.44829771179337,105.76360211850799,107.42694854736328,107624400.0
2020-11-04,111.02600479592498,112.43644258276989,109.28483911084726,111.81390380859375,138235500.0
2020-11-05,114.7320709410606,116.35651544029349,113.68154127114309,115.78260803222656,126387100.0
2020-11-06,115.29055563730266,116.1480215988268,113.1566256257408,115.65108489990234,114457900.0
2020-11-07,115.29055563730266,116.1480215988268,113.1566256257408,115.65108489990234,114457900.0
2020-11-08,115.29055563730266,116.1480215988268,113.1566256257408,115.65108489990234,114457900.0
2020-11-09,117.41471908421029,118.86656705608227,113.07865981779163,113.34174346923828,154515300.0
